video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"cOVTFuPXClA","NOVA CONTRATAÇÃO!! ELE CHEGOU NA LOUD PARA MUDAR TUDO!!","2019-11-30T23:02:03.000Z","UC7iwNp4GUynlGXvK-6KD0Rw","LOUD","20","19.01.12","free fire|mobile|playhard|crusher|loud","1541197","368824","2554","22996","https://i.ytimg.com/vi/cOVTFuPXClA/default.jpg","False","False","●Se inscreva no canal dele: https://www.youtube.com/channel/UCuzezNFePF6UzsORJSKbOJg?sub_confirmation=1●https://www.instagram.com/loud_bak/Jogue conosco: https://www.discord.gg/loudAcompanhe a LOUD na Nimo: https://linktr.ee/LOUDnimo● Faça barulho conosco:Assista a LOUD ao vivo na https://nimo.tvInstagram: https://www.instagram.com/loudgg/Twitter: https://twitter.com/loudggFacebook:  https://www.facebook.com/loud--------------------------------------------------------------------------Business email: contact@loud.gg"
"xM207mJY9ww","JOGANDO FUTEBOL DE SALTO ALTO!!!","2019-11-30T23:15:15.000Z","UCPHXtOVmjvbP9OJihsd7gCg","CanalCanalha","23","19.01.12","canal canalha|canalcanalha|canal|canalha|julio cocielo|júlio cocielo|julio|júlio|cocielo|@cocielo|crossbar challenge|desafio do travessão|desafio|soccer|futebol|salto alto|futebol de salto alto|fut salto|jogando futebol de salto alto|jogando futebol|challenge|futsal de salto alto|futsal","947082","173473","1048","1937","https://i.ytimg.com/vi/xM207mJY9ww/default.jpg","False","False","CLIQUE EM GOSTEI, FAVORITE, COMENTE E SE INSCREVA!INGRESSOS COPA YOUTUBERS: https://copayoutubers.com.br/LOUTH SHOES: https://www.louth.com.br/MEUS CANAIS: CANAL TACIELO: https://www.youtube.com/channel/UCS0HnVAJqgJ3VZkluCZEbIQCANAL COCIELO: https://www.youtube.com/CocieloCANAL REVERSÃO: https://www.youtube.com/channel/UCyEHckavb7hMh5f8j4WEiIgREDES SOCIAIS:MEU INSTAGRAM: https://www.instagram.com/cocielo/MEU TWITTER: https://twitter.com/cocieloMINHA PAGINA https://www.facebook.com/CanalCanalhaMEU FACEBOOK https://www.facebook.com/juliococielo#Cocielo #FutebolDeSalto #FutSalto"
"dY09peNVVLc","The Pussycat Dolls REUNITE and perform new song 'React'! | Final | X Factor: Celebrity","2019-11-30T20:21:25.000Z","UCEY1ejsweY4DgMwOVJeEaBA","The X Factor UK","24","19.01.12","the x factor|x factor|X factor UK|simon cowell|auditions judges season 15|series 15|Louis Walsh|Nicole Scherzinger|The X Factor Celebrity|X Factor Celebrity|X Factor Audition|X Factor 2019|The X Factor Audition|X Factor Celebrity Audition|X Factor Celebrity 2019|The X Factor Celebrity 2019|Pussy Cat Dolls|Pussycat Dolls","1832353","92376","2881","0","https://i.ytimg.com/vi/dY09peNVVLc/default.jpg","True","False","Visit the official site: http://itv.com/xfactorFor the first time in a decade, the Pussycat Dolls reunite on The X Factor: Celebrity Final performing a medley of their biggest hits and new song 'React'.SUBSCRIBE: http://bit.ly/TXFSubFacebook: http://bit.ly/TXFFBTwitter: http://bit.ly/TXFTwiDownload The X Factor mobile app: http://bit.ly/TXFappWatch full episodes on ITV Hub (UK ONLY): http://www.itv.com/hub/the-x-factor"
"FS0XdzxZ_vc","O MELHOR DESENHO GANHA 3! - Desafio","2019-11-30T22:00:05.000Z","UC2bYhAHyaqfWlPXWBVk4BcA","Enaldinho","23","19.01.12","[none]","950266","93732","2915","5078","https://i.ytimg.com/vi/FS0XdzxZ_vc/default.jpg","False","False","COMPRE SEU LIVRÃO DO ZAP NA PRE VENDA: http://bit.ly/2yEsTtvINSTA: @Enaldinho ou www.instagram.com/enaldinho/Meu segundo canal: https://goo.gl/oA3ErZ  ★ Siga nas redes sociais:Twitter: https://twitter.com/Enaldinho1Face: https://www.facebook.com/enaldo.lopes.1★ Canais Participantes:Brenner: https://encurtador.com.br/dexJYBiel: https://goo.gl/YVv4n5Painzeiro: https://goo.gl/nWpFc1Nicolas Gomes: https://goo.gl/saBq3d"
"r8A5F2rnJ34","CEARÁ 1 X 1 ATHLETICO-PR - Melhores Momentos - Brasileirão 2019 (30/11)","2019-12-01T00:26:26.000Z","UCs-6sCz2LJm1PrWQN4ErsPw","Esporte Interativo","17","19.01.12","esporte interativo|ceara|athletico|ceara x athletico|melhores momentos|brasileirao|campeonato brasileiro|mateus gonçalves|madson|briga pelo rebaixamento|vozao|ceara x athletico paranaense|sp:ty=high|sp:dt=2019-11-30:19:00-03:00|sp:st=soccer|sp:li=braz|sp:ti:home=CEAR|sp:ti:away=CAPA","337409","9535","339","1716","https://i.ytimg.com/vi/r8A5F2rnJ34/default.jpg","False","False","Ceará e Athletico-PR empataram em 1 a 1 com dois no final da partida. Com o resultado, o Vozão segue em situação delicada no Brasileirão! Confira os melhores momentos da partida, com gols de Mateus Gonçalves e Madson!Siga o Bradesco:https://www.facebook.com/bradesco/                                                             https://www.instagram.com/bradesco/Siga o Sporting Bet:https://www.facebook.com/sportingbet.tv/                                                                       https://www.instagram.com/sportingbet.tvSiga a Chevrolet:https://www.facebook.com/chevroletbrasilhttps://www.instagram.com/chevroletbr/https://www.youtube.com/user/chevrole...https://twitter.com/chevroletbrasilAssine o EI PLUS e assista todos os jogos da Champions League e tenha acesso a vários conteúdos exclusivos do Esporte Interativo: http://bit.ly/2UfmdtUCANAIS:DE PLACA - http://bit.ly/2HxPlHlMFM - http://bit.ly/2KnSU6PDESAFIEI - http://bit.ly/2EZIjL6DE SOLA - http://bit.ly/2k0Xg90EI GAMES - http://bit.ly/2ufcveAAcesse o portal do Esporte Interativo: http://www.esporteinterativo.com.br/"
"lYFNyj8tjDg","Ludmilla - Verdinha (Official Music Video)","2019-11-29T15:00:44.000Z","UCSCB1IQUmNa8Gn5VfSUAUpg","Ludmilla","10","19.01.12","Ludmilla|MC Beyonce|Funk|funk carioca|POP|Sem Querer|Hoje|Warner|MC Ludmilla","2697884","218903","32374","14343","https://i.ytimg.com/vi/lYFNyj8tjDg/default.jpg","False","False","#Ludmilla #VerdinhaVERDINHACompositora: LudmillaEditora: Warner ChappellProdutores: Walshy Fire e Topo La MarkaraEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realMinha mãe já perguntouO meu pai já perguntouA minha vó já perguntouQue planta é essa meu amorMinha mãe já perguntouO meu pai já perguntouA minha vó já perguntouQue plantinha é essa meu amorSou porra loucaMas também sou dedicadaEm casa não falta nadaTrabalho pra estudarEu tenho alma de pipa avoadaMinha vizinha fala, fala, não consegue acompanharUm dia vou poder falar toda verdadeA máscara que vai cair diante da sociedadeBang, bangNão em perturbaVou tacar fogo em mais umSó pra não ficar malucaEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realFiquei loconaChapadonaSó com a marola da Ruhama Ficha Técnica:Produtora: UMANA (@umanafilm)Direção e Montagem: João Monteiro (@jpmmonteiro)Produção Executiva: Toti Higashi (@totihigashi)Direção Criativa: João e Audrey1º Ass de Direção: Audrey Nobrega2º Ass de Direção: Tize Salati2º Ass de Direção: Hana BatistaCoordenação de Produção: Isabelle AcioliDireção de Produção: Thiago FreireProdutora: Michelle RodriguesAjudante de Produção: Caleb ApoliAjudante de Produção: Rodrigo PedreiraAjudante de Produção: Rafael MartinsDireção de Fotografia: Fabio Politi1º Ass de Câmera: Rafael Giacondino2º Ass de Câmera: Maria NavarroVideo Assist: Rebeca CapeceLogger: Carolina ColomboSteadicam: ZugaAss Steadicam: Mateus FelipeEletricista: Marcelo Marujo (Melão)1º Ass de Elétrica: Danilo Soncela2º Ass de Elétrica: Aleandro GoesMaquinista: Julio Garcia (Julinho)1º Ass de Maquinaria: Reinaldo Chijo2º Ass de Maquinaria: Aliandro ZotiDiretor de Arte: Lucas AndradeAss e Produção de Arte/Objetos: Diego HarleyContra Regra: Gabriel TaveiraContra Regra: Maick EduardoAss de Contra Regragem: Hallan FerronFotografia (BTS): Kendy HigashiFotografia (Still): Rodolfo MagalhãesColor: BleachStylist (Ludmilla): Rodrigo PolackAss de Stylist: Ana BallesterosAss de Stylist: Laurentina RamalhoAss de Stylist: Junior MendesStylist (Elenco): Joseph AckonAss de Stylist: David Michael dos SantosCamareira: Paula MontagnerCostureira: ItaemaBeauty (Ludmilla): Cristian de Oliveira GomesBeauty (Elenco): Jessica Andrade MongeAss de Beauty (elenco): Anna Carolina Sant’Anna de SouzaProdutora de Casting: Aisha MbikilaElenco: David Newton César, Luiza Alves de Alexandre, Charlesde Lima Silva, Anddy Williams, Anderson de Lima Santos, AlisonOliveira MeirelesBailarinas (convidadas): Bruna Goncalves Coelho, PatríciaCristino Barros da Silva, Laís de Melo Oliveira, Emily daSilva FerreiraFornecedores:Equipamento de Câmera: MR5Equipamento de Luz e Maquinaria: Cine e Video / Elite CamEstrutura de Produção: Águia Locações, BestCom, Puff CrewGerador: ZerleiGeradorista: Vanei de Jesus BritoCatering: Tia Nenna e JeffEquipe Catering: Jefferson Alencar / Rodrigo da Paixão /Jonathan JoabTransporte:Caminhões de Produção e Vans: TransKinderrVan de Camera: Ricardo de SouzaCarro de Produção: Rubens Leandro D'Avila PereiraMotorista (catering): Wilson Roberto SoaresAgradecimentos especiais ao Tadashi Miyayaciki por ter nosoferecido o seu espaço para podermos realizar o projeto."
"KNwDUT1qG5w","Sampaoli quer esperar Palmeiras e Flamengo para decidir futuro / Quanto Goiás cobra por Michael?","2019-12-01T11:00:04.000Z","UCx0RRbF4EJOUQ28SurIU7Eg","Canal do Nicola","17","19.01.12","sampaoli|sampaoli futuro|sampaoli racing|sampaoli santos|sampaoli palmeiras|sampaoli flamengo|sampaoli quer esperar|jorge nicola|canal do nicola|nicola|sampaoli 2020|michael|michael goias|michael flamengo|michael palmeiras|preço michael|multa michael|goias pedida michael|ofertas michael|ofertas michael goias|valores michael","153345","16042","232","1107","https://i.ytimg.com/vi/KNwDUT1qG5w/default.jpg","False","False","O Racing-ARG vai ter de esperar para ter uma resposta de Jorge Sampaoli. É que o argentino, de saída do Santos, decidiu aguardar movimentos do mercado de técnicos no Brasil antes de definir seu 2020. Ele imagina que Palmeiras e Flamengo podem ficar sem técnicos. Neste caso..Já Michael, sondado por vários clubes brasileiros, vai custar quanto? Conversei com o diretor de futebol do Goiás que revela a pedida do clube para liberar o atacante, de 23 anos.Link do vídeo:https://youtu.be/KNwDUT1qG5w"
"8-gMqrKMDMo","TOUR PELO MEU APARTAMENTO REFORMADO!","2019-11-30T21:00:01.000Z","UCnfUCP_4nSws4KUI4Nkdaig","Maria Venture","23","19.01.12","reforma|maria venture|apartamento|colorido|daily|vlog|venture|morando sozinha|ap|casa|casa nova","245818","50371","292","1174","https://i.ytimg.com/vi/8-gMqrKMDMo/default.jpg","False","False","CORRE PRO MEU FIREWORK! SOLTO CONTEÚDOS EXCLUSIVOS LÁ! 😍BAIXE O FIREWORK: https://fireworktv.onelink.me/iKBL/mariaventureMeu user no firework: @mariaventureE aí galera, tudo beleza? Neste vídeo eu mostro todos os detalhes do meu apartamento reformado! Amei demais e quero saber o que vocês acharam! Espero que tenham gostado! Deixem o like e se inscreva no canal. Beijoos e valeu! :DMinhas redes sociais:Instagram: @mariaventureSnapchat: maria_ventureTwitter: @maria_ventureFacebook: https://www.facebook.com/mariaventure..."
"2CdWrCQTxgM","MC Digo STC e MC Rodolfinho - Levada Mala (kondzilla.com)","2019-11-30T18:00:00.000Z","UCffDXn7ycAzwL2LDlbyWOTw","Canal KondZilla","10","19.01.12","kondzilla|videoclipe|lançamento|Funk|Música de Funk|Musica de Funk|Kond|Musica|Música|musicas|músicas|mc|mcs|funks|funk2019|funks2019|músicas de funk|musicas de funk|levada|mala|mc digo stc|mc rodolfinho","214270","23014","507","441","https://i.ytimg.com/vi/2CdWrCQTxgM/default.jpg","False","False","O Digo e o Rodolfinho emplaca! Confira Levada Mala do MC Digo STC e MC Rodolfinho no Canal KondZilla.Inscreva-se no NOVO CANAL da KondZillahttp://bit.ly/CanalPortalKondZillaLETRA:Sem capacete na minha quebradaDe Ducati multi-estrada as gata fica ouriçadaOs bico sujo não entende nadaFala que a nave é roubadaMas a nave tá quitadaHabilitado e não pega nadaSe trombar VT nóis para e joga o doc na caraOs cara de lei não fala nadaLigo a moto e taco marchaQue não tá constando nadaMandando marcha em cima de marchaDando grau raspando a placaCom a navera penduradaMestre do toque da madrugadaDe rolê pelas quebradaAtiçando a mulheradaSou inspiração pra molecadaSou porta voz da quebradaE os bico não entende nadaMais uma letra tapa na caraMais uma levada malaQue o Digo e o Rodolfinho emplacaSHOWS:(11) 2385-0126KondZilla11 94014-2769 Encontro de MCsPRODUÇÃO MUSICAL:DJ Biel BoladoDIREÇÃO:Tico FernandesREDES SOCIAIS: MC Digo STC Instagram: https://www.instagram.com/mcdigostc/MC RodolfinhoInstagram: https://www.instagram.com/mcrodolfinho/OUÇA NOSSOS HITS:http://bit.ly/LançamentosFunks2019http://bit.ly/MelhoresFunksKondZilla#Funk #KondZilla #MCDigoSTCeMCRodolfinho #PortalKondZilla  #FavelaVenceu #SomosPluralCopyright © 2019 KondZilla®. Todos os direitos reservados."
"WtPfJ0xo73w","A CADA GOL GANHA UM PRODUTO DA NIKE! *DESAFIO DA BLACK FRIDAY*","2019-11-30T21:58:30.000Z","UCriRvZSnEFPSMqSya2s2U6g","Banheiristas","17","19.01.12","caio|vitor|lo|banheiristas|banheristas|banheirista|criança|crianca|videos|futebol|esporte|desenhos|desafios|gol|gols|diversao|kids|teen","209196","24270","218","552","https://i.ytimg.com/vi/WtPfJ0xo73w/default.jpg","False","False","APROVEITA QUE É SÓ ATE AMANHA A BLACK FRIDAY NA NIKE.COM: https://www.nike.com.br/blackfriday[SEJA MEMBRO] e vire PARCEIRO DO BANHEIRISTAS!: https://www.youtube.com/channel/UCriRvZSnEFPSMqSya2s2U6g/join[O QUE VOCÊ VAI TER SE VIRAR MEMBRO]:-1 VIDEO EXCLUSIVO POR SEMANA!-1 LIVE MENSAL EXCLUSIVA!-POSTAGENS EXCLUSIVAS NA COMUNIDADE DO YOUTUBE!-SELOS EXCLUSIVOS QUE TE INDENTIFICA COMO MEMBRO NOS COMENTÁRIOS!-EMOJI EXCLUSIVO DO BANHEIRISTAS!IRMÃOS LO:https://www.youtube.com/channel/UCGmK5lxJny00jnQl03rvgEw/videos[INSCREVA-SE NO CANAL]INSTAGRAM@banheiristas@caiolo@vitorlo_@baheaoficial@owenesquilo@tarobinha@tulinhoAPENAS! CONTATO COMERCIAL: banheiristas@emailtb.com.brbanheiristas@gmail.comMusic from:A new persona for electro swing: Peggy Suave.https://soundcloud.com/simgretina/peg...http://simgretina.tumblr.com/post/133...https://simgretina.bandcamp.com/"
