video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"IePbjLAUvf0","박진영 (J.Y. Park) FEVER (Feat. 수퍼비, BIBI) M/V","2019-11-30T09:00:04.000Z","UCaO6TYtlC8U5ttz62hTrZgg","jypentertainment","10","19.01.12","JYP Entertainment|JYP|FEVER|J.Y.Park|JYPark|박진영|조여정|CHOYEOJEONG|수퍼비|SUPERBEE|비비|BIBI|CHO YEO JEONG|cho yeo-jeong|CHO YEO-JEONG","2422111","178164","5730","14313","https://i.ytimg.com/vi/IePbjLAUvf0/default.jpg","False","False","박진영 (J.Y. Park) FEVER (Feat. 수퍼비, BIBI) M/V MelOn http://kko.to/rXWcj07jpSpotify https://spoti.fi/2DKzHbDiTunes/Apple Music https://apple.co/37U8Bwo2019.12.01 SUN 6PM MUSIC박진영 콘서트 NO.1 X 50대구 12월 21일 EXCO 5층 컨벤션홀부산 12월 25일 사직실내체육관서울 12월 28일-29일, 31일 올림픽홀예매처 - 예스24 : https://t.co/O3GEg7YFYl- 인터파크 : https://t.co/xXn0oEbiXl- 멜론티켓 : https://t.co/0cvQgbdw8zJ.Y. Park Official YouTube: http://www.youtube.com/c/JYParkJ.Y. Park Official Instagram : http://www.instagram.com/asiansoul_jyp/J.Y. Park Official Twitter : https://twitter.com/followjypJ.Y. Park Official Facebook: http://www.facebook.com/followjypJ.Y. Park Official TikTok : http://www.tiktok.com/@JYPark_officialJ.Y. Park Official Homepage: http://jyp.jype.comCopyrights 2019 ⓒ JYP Entertainment. All Rights Reserved."
"tJhEmCAYEl0","흔한 호기심! 나홀로 숨바꼭질을 하면 정말 귀신이 올까?ㅋㅋㅋ(흔한남매)","2019-12-01T06:00:07.000Z","UCU8uafr_iROxRVI6c23Q_bA","흔한남매","24","19.01.12","웃찾사|웃찾사흔한남매|흔한남매|현실남매|공감|개그|개그맨|한으뜸|장다운|에이미|으뜸|시트콤|코미디|흔한호기심|나홀로 숨바꼭질|흔한남매 호기심|흔한남매 오해요|흔한남매 방탈출|흔한남매 무서운이야기|흔한남매 먹방|흔한남매 게임|흔한남매 브롤스타즈|흔한남매 로블록스|흔한남매 결혼|흔한남매 웃음|꿀잼|샌드박스","500836","12554","407","5018","https://i.ytimg.com/vi/tJhEmCAYEl0/default.jpg","False","False","저희가 대표로 했으니 우리 냐하들은 따라히지 말자구용~~!!^^다음엔 어떤 호기심을 해결해 드릴까요? 많은 댓글 부탁드려요~^^냐핫---------------------------------------------------안녕하세요~ 코미디 크리에이터 웃찾사 '흔한남매' 팀에 개그맨 한으뜸, 장다운입니다.코미디를 좋아해서 만들게 된 채널이구요~ 흔한남매 뿐만 아니라 새로운 개그 코너도 이 채널에 선보이려고 합니다~!!개그 뿐만 아니라 시트콤, 먹방, 만들기, 실험, 일상, 커플(실제 커플입니다.ㅋㅋ)등 다양한 영상들도 기대해주세요~ 흔한남매 채널을 구독하시면~  재미+상큼+병맛+발랄한 영상으로 보답하겠습니다~ 구독~꾸우우우욱~~ 눌러쥬시고 예뿌게 봐쥬세효~~~냐핫!!비지니스문의: normalsibling@sandboxnetwork.net팬아트 보내는곳 : ddmchu@daum.net으뜸 인스타: https://www.instagram.com/ddmchu/다운 인스타: https://www.instagram.com/jangdawun/흔한남매 틱톡ID: nya_ha"
"2HqmmztWx6Y","[HD] BTS (방탄소년단) FULL PERFORMANCE @ MMA 2019","2019-12-01T00:38:53.000Z","UCbBZ5gQ3XruYrY7pNRQ77gQ","Dani & Cesar","10","19.01.12","bts|bts mma 2019|bts melon music awards|bts dionysus melon|bts boy in luv melon|bts boy with luv melon|bts persona melon|bts live 2019|bts melon 2019|melon music awards bts|bts boy with luv mma|bts boy in luv mma|bts persona mma|bts dionysus mma|bts mikrokosmos mma","1058273","85433","942","4422","https://i.ytimg.com/vi/2HqmmztWx6Y/default.jpg","False","False","bts mma 2019 full performanceNo copyright infringement intended.Copyrights belongs to MMA, Mnet, 1thek, and Bighit Entertainment (ibighit)bts melon music awards 2019 bts boy with luv mmabts boy in luv mmabts persona mmabts dionysus mmabts mikrokosmos mma"
"Nz2uKK-7dVQ","[#신서유기] 겨울왕국 애마가 부릅니다. 렛잇고. 서로 혼내지 않기로한 인물퀴즈 ㅋㅋㅋ 대환장 꿀잼 | #다시보는신서유기2 | #Diggle","2019-11-30T05:00:08.000Z","UCsRIHt5FkbGc6cQtCxt-ufA","tvN D ENT","24","19.01.12","신서유기|다시보는신서유기|신서유기레전드|강호동|이수근|은지원|안재현|송민호|피오|이승기|규현|슈주|블락비|위너|신서유기다시보기|신서유기엑기스|나영석|나영석예능|나영석레전드|tvN|젝 스키스|강호동 레전드|신서유기7|강식당2|강식당 다시보기|강식당 예고|나영석 PD|나PD|신서유기2|신서유기 스태프|ㅋㅋㅋ|현웃|피옷가게|네파|피오패리스|오킹|좀비게임|겨울왕국|인물퀴즈|신서유기 송민호","1001096","0","0","524","https://i.ytimg.com/vi/Nz2uKK-7dVQ/default.jpg","False","True","#다시보는신서유기 #Diggle 겨울왕국 애마가 부릅니다. 렛잇고. 서로 혼내지 않기로한 인물퀴즈 ㅋㅋㅋ 대환장 꿀잼Let's giggle, :Diggle!더 많은 꿀잼 영상은? ▶ tvN D CLASSIC : https://bit.ly/2KT666f"
"BtzfbIVESmw","추운겨울 이불안에서 보는 더블비 Best 몰카 모음집ㅋㅋㅋㅋ 리얼 핵꿀잼ㅋㅋㅋㅋ","2019-12-01T04:39:25.000Z","UCyCL5k8P1iUOc1EymhhMW1A","더블비","23","19.01.12","몰카|웃긴영상|재밌는영상|꿀잼|개그맨|개그콘서트|웃찾사|하면하지|보물섬","519097","10575","412","1873","https://i.ytimg.com/vi/BtzfbIVESmw/default.jpg","False","False","#English #Facebook #Youtube이불밖은 위험하니 이불안에서 더블비 몰카 보쟝!!!광고,협찬 문의  mingyu3@naver.com     인스타그램    장명준   https://www.instagram.com/mang_jun_/?...                        박민규   https://www.instagram.com/mingggkiiii...더블비 페이스북 https://www.facebook.com/officialdoub..."
"s13LtoOOmPs","나하은 (Na Haeun) - 2019 멜론 뮤직 어워드 베스트 댄스 후보소개 댄스 (2019 Melon Music Awards Best Dance Nominees Dance)","2019-12-01T06:15:00.000Z","UCcpAtOvcne_cX7gvarTgKsQ","[Awesome Haeun]어썸하은","10","19.01.12","어썸하은|어썸하은TV|Awesome Haeun|Haeun|하은이|나하은|Na Haeun|댄스|K-POP|댄스신동|커버댄스|쏘스페셜","973952","68565","1143","2507","https://i.ytimg.com/vi/s13LtoOOmPs/default.jpg","False","False","안녕하세요 여러분!항상 응원해주시는 어썸니스 덕뿐에 하은이가 올해도멜론뮤직어워드에 참석하게 되었습니다♥올해도 베스트 댄스 후보를 댄스로 소개하는 시간이 있었습니다!못보신 분들을 위해 영상 올려드립니다!매번 감사, 또 감사합니다 어썸니스 여러분들♡Hey guys!Haeun was able to attend 2019 MMA due to all the love and supportyou guys give to Haeun! Was such an honor to introduce the best dance nominees through dance again!Here's the video to share with all of you!Enjoy! & Thanks for all the support you guys always give to Haeun ♥[나하은 / Na Haeun SNS]Facebook : https://www.facebook.com/haeun0116Instagram : https://instagram.com/awesomehaeunDaum Fancafe : http://cafe.daum.net/Haeun09"
"DrSRiotRdk8","학교에 외계인이 전학오면 생기는 일ㅋㅋㅋ(feat.이상한 비행물체 UFO)","2019-12-01T00:45:16.000Z","UCJundLkbjldzL60kFfKm1vQ","급식왕","23","19.01.12","#급식왕|#두더지|#발가락쌤|#징징이|#방울이|#학교|#웃긴영상|#공트|외계인|UFO|비행물체|전학생|이계인|밍꼬발랄|흔한남매|재밌는영상|깝숙이|구구쌤|온달쌤|수상한|비행기","435823","9248","614","2945","https://i.ytimg.com/vi/DrSRiotRdk8/default.jpg","False","False","#외계인#유형 #꿀팁비즈니스 메일 E-MAIL(BUSINESS) : schoolfoodking@sandboxnetwork.net급식왕과 소통하실 분들은 인스타 https://www.instagram.com/schoolfoodking/틱톡 아이디 schoolfoodkinghttp://vt.tiktok.com/d69rtD/ 페이스북https://www.facebook.com/profile.php?id=100040932466628"
"O5RpTB7ExdM","겨울왕국2 ost 노래 모음 - Frozen 2 OST soundtrack [1시간연속재생 ]","2019-11-29T02:05:43.000Z","UCpS4_lcap-K-x7DkHbUEfbw","음악 외국: 외국노래","10","19.01.12","겨울왕국|겨울왕국2|겨울왕국2 ost|노래 모음|겨울왕국2 ost 노래 모음|Frozen|Frozen 2|Frozen 2 OST|Frozen 2 OST soundtrack","771319","11704","301","2030","https://i.ytimg.com/vi/O5RpTB7ExdM/default.jpg","False","False","겨울왕국2 ost 노래 모음 - Frozen 2 OST soundtrack [1시간연속재생 ]구독과 좋아요 부탁드립니다#겨울왕국2, #겨울왕국"
"3Jpub2RaJQo","24시간동안 전자레인지 VS 냄비!! 뭐가 더 맛있게 요리할까?!","2019-12-01T09:00:00.000Z","UClzB2iZ5jPoTNz0S-QU6Wiw","파뿌리","24","19.01.12","파뿌리|강호이|진렬이|노랭이|예능|옥탑방|반지하|지하|땅굴|벙커","468715","9402","335","2014","https://i.ytimg.com/vi/3Jpub2RaJQo/default.jpg","False","False","※ 노랭이 PD : 라면은 진리입니다※ 강호이 : 하나만 쓰는 건 무리입니다※ 진렬이 : 브라우니 진짜 홀리몰리입니다시청자들과 깊은 소통을 지향하는 버라이어티 채널 파뿌리입니다! 채널 구독하셔서 강호이, 진렬이, 그리고 노랭이PD의 유쾌한 매력에 빠져보세요!!재밌게 보셨다면 좋아요 구독 댓글 쌈박하게 날려주시구요오!~★파뿌리와 더욱 가깝게 소통하기! (MEET POPFREE)★[페이스북] 미방영분, 자잘한 일상영상 : https://www.facebook.com/POPFREE1992/[인스타그램] 콘텐츠 예고편, 스틸컷, 자잘한 일상사진 : 개업 준비중!(Coming soon!)[트위터] 트위터로는 뭘 하면 좋을까? : 개업 준비중!(Coming soon!)[이메일] 콘텐츠요청, 팬 아트, 보내주고픈 말들 : popfree@sandboxnetwork.net[팬사서함] 굳이 보내주시겠다면 사양하지 않겠어..! 흐흐 서울특별시 강남구 테헤란로 518 15층 샌드박스 네트워크 받는 사람명 - 파뿌리"
"7LnEb_6agks","기승전조! 내가 시발점이라고? 내가 태어난 게 잘못이다♨ | 신서유기 7 tvNbros7 EP.6","2019-11-29T13:15:26.000Z","UC78PMQprrZTbU0IlMDsYZPw","tvN","24","19.01.12","신서유기|신서유기7|신서유기시즌7|tvN신서유기|tvN|티비엔|강호동|이수근|은지원|규현|송민호|피오","1526346","27491","256","2251","https://i.ytimg.com/vi/7LnEb_6agks/default.jpg","False","False","기승전조! 내가 시발점이라고? 내가 태어난 게 잘못이다♨리얼막장 모험활극 ＜신서유기7＞매주 금요일 밤 9시 10분 tvN#신서유기7 #조규현 #이수근------------------------------------------------------------------ ▶[신서유기 7] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120194767?from=youtube------------------------------------------------------------------"
