video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"s5wG9vUl_V0","【夢のコラボ】あやなんさんとタコパトーク！","2019-11-01T10:00:21.000Z","UCNiurMpWExWgio2lqldycbA","辻ちゃんネル","22","19.03.11","[none]","507687","12875","1681","0","https://i.ytimg.com/vi/s5wG9vUl_V0/default.jpg","True","False","家族で大好きなあやなんと夢のコラボです♡嬉しい！嬉しい！嬉しい！タコパにママトーク♡時間があっという間でした‼是非最後までご覧下さい♡【ゲスト】しばなんチャンネルあやなんポンスしばなんチャンネルhttps://www.youtube.com/channel/UColoXxvhfz54o0icqQRPzYw※コラボ動画公開中▶◀辻希美オフィシャルブログ▶◀のんピースhttps://ameblo.jp/tsuji-nozomi▶◀辻希美オフィシャルInstagram▶◀https://www.instagram.com/tsujinozomi_official/?hl=ja▶◀辻ちゃんネルオフィシャルInstagram▶◀https://www.instagram.com/tsujichannelofficial/?igshid=18xizrub3ht1rOP映像音楽制作:杉浦タカオOP映像音楽作曲:SEPT・hoto-DEntertainment Live Stage 「SEPT」公式ホームページhttp://sept-ppn.com/【YouTubeについてお問い合わせ】MIHAhttps://www.miha.co.jp/"
"bPQtWW9J7MU","【開封レビュー】アップルの新型イヤフォン「AirPods Pro」は、イヤフォンの概念を変えてしまうかもしれない…。","2019-11-01T11:52:16.000Z","UCFBjsYvwX7kWUjQoW7GcJ5A","瀬戸弘司 / Koji Seto","26","19.03.11","瀬戸弘司|瀬戸|せと|せとこうじ|Apple|アップル|AirPods|AirPods Pro|エアーポッズ|プロ|評価|評判|ノイズキャンセリング|ノイキャン|AR|拡張現実|VR|外部音取り込み|iPhone|sony|wh1000xm3|wf1000xm3|イヤフォン|ヘッドフォン|applecare|レビュー|開封","480120","11702","934","2579","https://i.ytimg.com/vi/bPQtWW9J7MU/default.jpg","False","False","2019年10月28日の真夜中に、突如として販売開始されたアップルの新型ワイヤレスイヤフォン「AirPods Pro」。2016年12月に発売された「AirPods」にノイズキャンセリング機能を搭載したモデルです。これまで同カテゴリ製品の中でベストバイ的なポジションにいた、SONY製ノイズキャンセリングイヤフォン「WF-1000XM3」との比較が一番気になるところですよね。個人的にはAirPods Proの圧勝です！素晴らしすぎます！Twitterでもさんざん褒めたので、動画を見るまでもないかもしれませんが、動画後半の「音のAR」についての話はすごく面白いので、ぜひそこだけでも見ていってください。＜商品リンク＞AirPods Pro - Apple（日本）https://www.apple.com/jp/shop/product/MWP22J/A/airpods-proSONY ノイズキャンセリングイヤホン WF-1000XM3https://amzn.to/2BYpCa2SONY ノイズキャンセリングヘッドホン WH-1000XM3https://amzn.to/2Pza9VT＜参考リンク＞AppleCare+ for Headphoneshttps://www.apple.com/jp/support/products/headphones/VRとARについて @goando さんのツイートhttps://twitter.com/goando/status/1189392111184957440＜おすすめ動画＞【ほぼ最速レビュー】Apple純正ワイヤレスイヤフォン「AirPods」がやってきた！ / アップル エアーポッズhttps://youtu.be/GOh9yGMl3Xc【凄すぎる…】最新のノイズキャンセリングヘッドホンを買ってみたらぶったまげた！！！ / SONY WH-1000XM3https://youtu.be/TUthIT8pRU4＜瀬戸弘司公式LINEスタンプ＞ぷーんスタンプ発売中！https://store.line.me/stickershop/product/1121042/ja＜瀬戸弘司の機材やおすすめ商品＞最近使用している撮影・編集機材http://kojiseto.com/kizai/瀬戸弘司のお気に入り商品http://kojiseto.com/like/＜今日の一言＞ひさびさにゲーム実況動画を編集中です。期待せずにお待ち下さい(^^)※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※上記製品リンクURLはAmazonアソシエイトのリンクを使用しています。楽曲提供：Production Music by http://www.epidemicsound.com＜主に利用しているBGMサイト＞甘茶の音楽工房http://amachamusic.chagasi.com/DOVA-SYNDROMEhttp://dova-s.jp/音楽の卵http://ontama-m.com/＜画像素材＞かわいいフリー素材集 いらすとやhttp://www.irasutoya.com/素材提供 PIXTA【瀬戸弘司の動画】メインチャンネルhttps://www.youtube.com/eguri89【瀬戸弘司のミニ動画】サブチャンネルhttps://www.youtube.com/eguri89mini【瀬戸弘司のゲーム実況】ゲームチャンネルhttps://www.youtube.com/eguri89games【Twitter】https://twitter.com/eguri89【ブログ】http://kojiseto.com/【インスタグラム】https://www.instagram.com/eguri89/【Facebook】http://facebook.com/eguri89【Google+】http://google.com/+Kojiseto"
"IdVCY_TLefE","ARASHI「2019.11.03」","2019-11-01T08:00:02.000Z","UCP7Gw_YZAuh4Yg2fcdcuumQ","ARASHI","10","19.03.11","嵐|ARASHI|あらし|アラシ|相葉 雅紀|松本 潤|二宮 和也|大野 智|櫻井 翔|MASAKI AIBA|JUN MATSUMOTO|KAZUNARI NINOMIYA|SATOSHI OHNO|SHO SAKURAI|嵐 デビュー日|嵐 カウントダウン|ARASHI Countdown","2568661","0","0","8086","https://i.ytimg.com/vi/IdVCY_TLefE/default.jpg","False","True","Coming soon...https://youtu.be/Jot1N5hWPDA"
"2y3gklMRFTA","【本気】自家製ラーメン30分ガチ大食い対決～プリッとChannelコラボ～","2019-11-01T10:00:26.000Z","UC1-4AnMxkLXLNL3-7UJ4KTQ","/谷やん谷崎鷹人","24","19.03.11","谷やん|谷やん プリッと|大食い|大食い 谷やん|プリッと|ぷりっと|ラーメン 大食い|大食い ラーメン|谷やん ラーメン|ぷりっと ラーメン|プリッと ラーメン","534891","9587","607","848","https://i.ytimg.com/vi/2y3gklMRFTA/default.jpg","False","False","⇩プリッとChannelさんの動画⇩https://youtu.be/lW6K8hXLLxk⇩プリッとChannelさんのチャンネル⇩https://www.youtube.com/channel/UCg9mwxF0uacG3Q4N91wo2TQ数年ぶりの制限時間を設けたちゃんとした大食い(^^)なんだか昔に大食い番組に出演してた頃を思い出しました(笑)たまにはこういったのも刺激になっていいもんですね(^^)プリッとさんのチャンネルでは皆でワイワイ楽しく色んな企画の動画を更新されてます！是非是非遊びにいってみてください♪２年前に当時UUUMネットワークに所属してた「谷崎」、「プリッと」さん、そして「きょんくま」さんの３組がその時のMVPに選ばれておるたなさんとの会食に招待していただいたのですが、その頃は僕らもまだチャンネル登録者様が5万名様とかその位でそんな僕らがこうして段々と大きなチャンネルになってコラボしているっていうのがなんだか感慨深いです＾＾今後ともよき同期、戦友、ライバルとしてプリッとさんとは切磋琢磨していきたいものです！本日もご視聴ありがとうございました！(#^^#)※今回の過去最高に仕上がった本気チャーシューの動画、近々作ろうかな、、。"
"NfVT85ALgnU","PRODUCE 101 JAPAN｜防弾少年団♬FIRE｜＃6 グループバトル","2019-11-01T07:00:02.000Z","UC-smiHPuMela07NTmpF6hZw","PRODUCE 101 JAPAN","24","19.03.11","PRODUCE101|wannaone|IZONE|I.O.I|EXO|EXILE|TWICE|BIGBANG|防弾少年団|SHINEE|SEVENTEEN|IZ*ONE|スーパージュニア|PRODUCE101JAPAN|令和|イケメン|2019|BTS|ナイナイ|ナインティナイン|プデュ|X1|日プ|プデュジャパン","530029","18759","711","4356","https://i.ytimg.com/vi/NfVT85ALgnU/default.jpg","False","False","PRODUCE 101 JAPAN｜防弾少年団♬FIRE｜＃6 グループバトル国民プロデューサーの皆様、あなたの推しMENに投票してください！■PRODUCE 101 JAPAN 毎週木曜 21:00~ GYAO! で生配信中！本編の配信&投票はGYAO！から！https://gyao.yahoo.co.jp/special/produce101/?source=external.p101_hp■公式サイト ：https://produce101.jp■公式twitter ：@produce101jp■公式instagram ：produce101japan_official■公式youtube ：http://www.youtube.com/c/PRODUCE101JAPAN #PRODUCE101JAPAN #国民プロデューサー #日プ #101練習生 #オーディション #国民投票 #ボーイズグループ #ツカメ #パフォーマンス #プデュ #プデュジャパン #プデュ日本"
"5ZSrcwPK4t4","胸が痛すぎて救急で病院へ。どうした俺。","2019-11-01T12:11:24.000Z","UCgMPP6RRjktV7krOfyUewqw","はじめしゃちょー（hajime）","24","19.03.11","hajime|はじめしゃちょー|funny|crazy|japanese|はじめ","1169248","28292","1024","6042","https://i.ytimg.com/vi/5ZSrcwPK4t4/default.jpg","False","False","チャンネル登録よろしくおねがいします !My name is Hajime! ファンサイトが出来ました！！！▽「はじメーノ」：https://goo.gl/8XTb5tはじめしゃちょーの畑：https://www.youtube.com/channel/UClKeJXipXwX7_ZGxOBnMQywはじめしゃちょー2（ゲーム実況など）：https://www.youtube.com/user/hajimexgametwitter: https://twitter.com/hajimesyachoInstagram: https://www.instagram.com/hajimesyachodesu/?hl=en遊戯王用Twitter:https://twitter.com/duelhajime755:http://7gogo.jp/lp/ztf2d8Wmk2AWkVIvojdMdG==LINEスタンプはこちら！はじめしゃちょーhttps://store.line.me/stickershop/product/1072663/jaはじめしゃちょー2https://store.line.me/stickershop/product/1169745/ja・動画内における素材提供 ＿人人人人＿＞　PIXTA　＜￣Y^Y^Y￣------------------------------------------------------------------------------ 楽曲提供：Production Music by http://www.epidemicsound.com                     フリーBGM DOVA-SYNDROME by http://dova-s.jp/------------------------------------------------------------------------------"
"EbtwxROih6I","【大食い】大トロ100個なんて余裕！？【青春☆しゅわしゅわクラブ】","2019-11-01T11:00:00.000Z","UC8_wmm5DX9mb4jrLiw8ZYzw","スカイピース","22","19.03.11","スカイピース","863141","20594","841","1456","https://i.ytimg.com/vi/EbtwxROih6I/default.jpg","False","False","かす↓https://www.youtube.com/channel/UC1fYrot9lgMstv7vX0BnjnQまあたそ↓https://www.youtube.com/channel/UCxlsYyeri8MOpap3w3JbWSQ毎日20:00に更新中！チャンネル登録よろしくお願いします！https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw- スカイピース -■ Twitter ⇒ https://twitter.com/skypeace_teojin■ 連絡先 ⇒ inaka72kuu@yahoo.co.jp■ YouTubeサブ ⇒ https://www.youtube.com/channel/UCn_cpHcrXjG_XnH9N3fO6qA/videos- テオくん -■ Twitter ⇒ https://twitter.com/teokun711■ Instagram ⇒ https://www.instagram.com/teokun.711/■ YouTube ⇒ https://www.youtube.com/channel/UCj6_0tBpVpmyYSGu6f-uKqw- ☆イニ☆(じん) -■ Twitter ⇒ https://twitter.com/JINJIN1027■ Instagram ⇒ https://www.instagram.com/jinjin10272/■ YouTube ⇒ https://www.youtube.com/channel/UC5VZjrV5x9J9mTyGODzu0dQメンバーシップの登録https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw/join- 提供BGM -STUDIO PUPPY■ Twitter ⇒ https://twitter.com/i_k_pもやしさらだ■ Twitter ⇒ https://twitter.com/moyasisarada■ YouTube ⇒ https://www.youtube.com/watch?v=6F2kbuou8O8&feature=youtu.be"
"MTPpOuKMiUg","そういえば冷蔵庫に巨大サーモンあったから、それ使って飯つくってみた","2019-11-01T08:34:41.000Z","UCaak9sggUeIBPOd8iK_BXcQ","きまぐれクックKimagure Cook","24","19.03.11","捌き方|料理|釣り|かねこ|さばき|魚|さかな|きまぐれクック|にしやん|トミック|SASHIMI|刺身|塩焼き|煮つけ|fishing|アトランティックサーモン|ちゃんちゃん焼き","1139761","16512","573","2802","https://i.ytimg.com/vi/MTPpOuKMiUg/default.jpg","False","False","うっかりうっかりDear Oversea Viewers,  Thank you for watching my video everytime.  I would like you to know more about our Japanese seafood. Because Japan is a country surrounded by the seas, various seafood gather here.We will continue to add English subtitles from past videos time to time. It might take a while to complete all videos but please wait.   Again, thank for watching my Video and I really appriciate you!(海外視聴者の皆様、いつも動画見てくれてありがとうございます！日本のシーフードの魅力をもっともっと知ってほしい。日本は海に囲まれた国。いろんなシーフードが集まります。 英語字幕を随時過去の動画からつけています。 少しペースは遅いですが、待っててください。  いつもありがとう！感謝します。)☆セカンドチャンネル⇒https://www.youtube.com/channel/UCEAvwlv0ZtJrSsgaA2CewOw☆lineスタンプ⇒https://store.line.me/stickershop/product/4908608☆ファンサイトhttps://fanicon.net/fancommunities/51☆Twitter⇒https://twitter.com/Kneko__☆インスタグラム⇒https://www.instagram.com/kimagure.cook/?hl=ja☆オリジナルグッズ⇒https://kiii.theshop.jp/☆プレゼント、お手紙などの宛先はこちら(※生物、冷蔵便は受け取りができません)153-0042東京都目黒区青葉台3-6-28住友不動産青葉台タワー2F「きまぐれクック」宛☆お仕事の依頼等⇒kimagure_cook@kiii.co.jp ☆https://www.youtube.com/channel/UCwJ0csCsSiievLHk3K0_IVwこちらの『にしやんFishingClub』でも【かねこ】として出演しております！­­コチラもよろしくお願いします！☆音源：http://dova-s.jp/"
"xsNdaWfQ1DI","【漫画】少食にありがちなこと５選【マンガ動画】","2019-11-01T11:00:19.000Z","UC3-1iYGHfR43q_b974vUNYg","フェルミ研究所","24","19.03.11","フェルミ研究所|フェルミ|雑学|衝撃|漫画|マンガ|アニメ|少食|あるある|ありがちなこと|大食い","1038446","20450","458","6242","https://i.ytimg.com/vi/xsNdaWfQ1DI/default.jpg","False","False","『食べ放題行きたくない・・』【漫画】少食にありがちなこと５選【マンガ動画】/大食い脚本/原作：永戸リョウ@denran1031イラストレーター：まっくすめろん@musk_tiger〜音楽〜甘茶の音楽工房http://amachamusic.chagasi.com"
"I3k1SNNqBGo","【バカゲー】このゲームに勝ったらトイレに行ってよし！！【寸劇】","2019-11-01T08:21:22.000Z","UC6VSFaHYbR-bhNer7DXxGNQ","ボンボンTV","24","19.03.11","ボンボン|BOMBOM|TV|チャンネル|番組|コミック|講談社|いちなる|いっちー|加藤一華|なる|金城成美","233029","1515","209","107","https://i.ytimg.com/vi/I3k1SNNqBGo/default.jpg","False","False","いっちー＆なる【いちなる】です！今回は、とうせんぼゲームをいちなるであそんでみました！トイレに行きたいなると『コリドール』勝負したけど、頭を使うから楽勝と思いきやなかなか苦戦しました…#いちなるハウス #いちなる #ボードゲーム■いちなるへのお手紙・イラストの宛先〒112-8001東京都文京区音羽2-12-21講談社「ボンボンTV」係加藤一華（いっちー）・金城成美（なる）宛【出演】　いっちー：加藤一華　なる：金城成美◎更新がすぐわかる公式ツイッター  https://twitter.com/bom2tv◎公式サイト  http://bom2.tv◎公式Facebook  https://www.facebook.com/bom2tvコミック【ボンボンTVのユーチューバーな日常】第１巻が無料で読めます！　https://comic.pixiv.net/works/3695ボンボンファミリーのツイッターアカウントはコチラよっち：https://twitter.com/yocchi5810えっちゃん：https://twitter.com/ecchan_bom2りっちゃん：https://twitter.com/ricchan_96なっちゃん：https://twitter.com/nacchan_bom2いっちー：https://twitter.com/kato_ichikaなる：https://twitter.com/kin_1122_■ボンボンTVの日常https://youtu.be/sQxRZ1wjm-0■えっちゃんねる/悦子https://youtu.be/5SCmJ7-vgI0"
