video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"vkbGe_I20vY","🎊💀¡FELÍZ DÍA DE MUERTOS!💀🎊 - Free Fire","2019-11-02T15:00:07.000Z","UC1ZPgKGxaT5P7QKN_bk9xkw","Garena Free Fire LATAM","20","19.03.11","free fire|free fire latam|free fire latino|dia de muertos|dia de muertos free fire|evento de free fire|regalos de free fire|consigue cosas gratis free fire","235821","32476","473","1780","https://i.ytimg.com/vi/vkbGe_I20vY/default.jpg","False","False","🎊💀¡FELÍZ DÍA DE MUERTOS!💀🎊 - Free Fire¡Celebremos juntos el Día de Muertos en #FreeFire! 💀 Entra y reclama tus regalos, juega Duelo de Escuadras y consigue calaveritas de azúcar para obtener cajas de armas.¡ENTRA YA!😍--------------------------------------------¡No te pierdas todas las noticias y concursos en nuestras redes sociales!🔥🔵 Twitter: https://twitter.com/FreeFireLatino💙 Facebook: https://facebook.com/FreeFireSA📸 Instagram: https://www.instagram.com/FreeFireLATAM/🎞️ Youtube: https://youtube.com/FreeFireLATAM📞 Discord: https://discord.gg/FreeFireLATAM⭐ Grupo Oficial de Facebook: http://bit.ly/FreeFireGrupoLATAM⭐ Grupo Batallón de Arte: http://bit.ly/FreeFireGrupoArte--------------------------------------------¿Necesitas ayuda?🚨 Soporte al Jugador: https://ffsoporte.garena.com*Es el ÚNICO sitio OFICIAL de soporte al jugador, nosotros no preguntamos datos bancarios.---------------------------------------------"
"ix2jtSrEIjs","¡PASTEL DE MIKECRACK NOOB VS PRRO! 😍🎂 ¿QUIÉN ES EL MEJOR COCINERO DEL MUNDO? | COCINA DE MIKE #11","2019-11-02T16:00:07.000Z","UCqJ5zFEED1hWs0KNQCQuYdQ","Mikecrack","24","19.03.11","mikecraft|mikecrack|mike crack|mikecrak|mike|tarta de mike|tarta de mikecrack|tarta noob vs pro|noob vs pro|pastel de mike|pastel de mikecrack|pastel noob vs pastel pro|mikecrack pastel noob vs pastel pro|PASTEL DE MIKECRACK NOOB VS PRRO","816185","70777","1557","7643","https://i.ytimg.com/vi/ix2jtSrEIjs/default.jpg","False","False","Volvemos a la Cocina de Mike #11 con una colaboración muy especial junto a La Cocina del Pirata! 😁 Haremos un reto de cocina en el cual competiremos por hacer la mejor tarta o pastel de Mike para ver quien es el verdadero prro de la cocina!💎 Rango Diamantito: https://goo.gl/HJX7dn🐦 Twitter: https://goo.gl/I0rd7c📷 Instagram: https://goo.gl/Gk7mg9📕 Mis Libros: https://www.amazon.es/s?i=stripbooks&rh=p_27%3AMikecrack&ref=dp_byline_sr_book_2👕 Tienda Oficial: https://goo.gl/ot2xEm🖐 Saludos: https://www.cameo.com/mikecrack✉️ Business Spain: mikecrack@vizz-agency.com✉️ Business Latam: mikecrack@dogmacreators.com✉️ Fans: mikies@diamantitos.com📄 Web: https://www.mikecrack.com/⭐ Compadretes ⭐👉 Vídeo del Pirata (TARTA DE CREEPER): https://youtu.be/sr4Kz8DTV_Y🔻MÚSICA:●  Intro: Different Heaven - Far Away● Outro: Una Sonrisa - Mikecrack● Music from Epidemic Sounds http://www.epidemicsound.com/● Bensound: http://www.bensound.com/royalty-free-music● Kevin MacLeod (incompetech.com) Licensed under Creative Commons: By Attribution 3.0 http://creativecommons.org/licenses/by/3.0/🔻PROGRAMAS QUE UTILIZO● Grabación: Mirillis Action 3.8 y ADV Screen Recorder (Android)● Edición: Adobe Premiere Pro CC 2019 y Adobe After Effects CC 2019● Renderización:  Adobe  Media Encoder CC 2019 y Xilosoft Ultimate Video Converter 7.8● Miniaturas: Adobe Photoshop CC 2019● Directos: OBS Studio▼Especificaciones:● Procesador  Intel Core i9-9900K 5.0 GHz ● Memoria Corsair Vengeance 32GB (2x16GB) 3000 Mhz● Gráfica EVGA GeForce RTX 2080 Ti XC ULTRA Gaming 11GB GDDR6● Placa Base MSI MPG Z390 Gaming Pro Carbon● Torre NZXT S340 Elite Negro● Fuente de alimentación EVGA SuperNOVA P2 80 Plus Platinum 1200W● Ventilador Cryorig A80● Windows 10 Pro● Micrófono: Rode NT1-A Complete Vocal Recording● Mesa de Mezclas: Behringer Xenyx Q802USB● Webcam: Logitech BRIO 4K● Teclado:  Corsair Strafe RGB (Teclas Cherry MX Silent)● Ratón: Logitech G502 Proteus Spectrum"
"lNEJJHlPyrY","Amores Verdaderos: ¡Nikki descubre las mentiras Kendra! | Escena - C70","2019-11-01T23:30:00.000Z","UCKyU-wd-KY4PMOcOpPQgQcw","Tlnovelas","24","19.03.11","Televisa|Telenovela|Las Estrellas|#LasEstrellas|telenovelas viejas|Erika Buenfil|Eduardo Yáñez|Eiza González|Sebastián Rulli|Marjorie de Sousa|Francisco Gattorno|Guillermo Capetillo|amores verdaderos|amor en custodia|nikki y guzman hacen el amor en el granero|niki y guzman en la hacienda|nikki y guzman hacen el amor el dia de su boda|nikki y guzman hacen el amor en el granero capitulo completo|nikki y guzman hacen el amor en la caballeriza","644289","8090","550","426","https://i.ytimg.com/vi/lNEJJHlPyrY/default.jpg","False","False","Kendra le hace saber a Nikki que arruinó su vida al casarse con Roy y que la estuvo manipulando.Escenas impactantes, amores, villanos, bodas , besos, cachetadas, avances, capitulos completos, horas y horas de Telenovelas en este canal. Suscríbete http://bit.ly/1G9uc3Q y no te pierdas lo que Televisa tiene para tí.Sitio Oficial: http://bit.ly/LasEstrellasTVFacebook: http://bit.ly/2uiKPXhTwitter: http://bit.ly/Telenovelas_TVInstagram: http://bit.ly/Estrellas_TV"
"iM752psv0v8","Confesiones | Todos los secretos salen a la luz","2019-11-02T02:00:05.000Z","UCYWOjHweP2V-8kGKmmAmQJQ","Badabun","24","19.03.11","confesion|fullsen|pareja|amigos|secreto|badabun|YouTubers|sospecha|duda|preguntas|respuestas","992771","56900","1939","3167","https://i.ytimg.com/vi/iM752psv0v8/default.jpg","False","False","FULLSEN HECHOS EN ALEMANIAOxxo, Circulo K y farmacias de tu ciudad.Instagram: https://www.instagram.com/fullsenmx/Facebook: https://www.facebook.com/FullsenMx/Bienvenidos a esta nueva serie llamada Confesiones. En ella, un grupo de YouTubers ocultos bajo un disfraz revelarán los secretos más íntimos que guardan en si. ¿Quieres saber cuáles son? ¡Descúbrelo!#CarolinaDiaz #YouTubers"
"oygrmJFKYZY","Dua Lipa - Don't Start Now (Official Music Video)","2019-11-01T13:00:11.000Z","UC-J-KZfRV8c13fOCkhXdLiQ","Dua Lipa","10","19.03.11","dua lipa|dua|new rules|dua leepa|idgaf|scared to be lonely|be the one|dua lipa dont start now|dua lipa dont start now video|dua new video|dua dont start now official video|dua lipa dont start now official video|dua dsn|dua lipa dont strat now|dua new song|dua new song 2019|if you don't wanna see me dancing with somebody|dont show up|dont come out|dont start caring about me now|nabil|nabil elderkin|nabil dua lipa|dua lipa nabil video|new dua","8941053","636265","14375","20916","https://i.ytimg.com/vi/oygrmJFKYZY/default.jpg","False","False","Don't Start Now is out everywhere! http://dualipa.co/dontstartnowFollow me online:Instagram:  https://dualipa.co/instagramFacebook: http://dualipa.co/facebookTwitter: http://dualipa.co/twitterYouTube: https://dualipa.co/youtubeSpotify: http://dualipa.co/spotifyApple Music: https://dualipa.co/apple-musicDeezer URL: http://dualipa.co/deezerAmazon Music: https://dualipa.co/amazonmusic"
"u42oD3L-UPs","COMIDA DE GOMITA VS COMIDA REAL | MIS PASTELITOS","2019-11-01T20:00:05.000Z","UCkjjH0hsvaeRIuwGlM9oSvg","Mis Pastelitos","26","19.03.11","mis pastelitos|mispastelitos|eshpeshial|mis pastelitos pasteles|pasteles mis pastelitos|mis pastelitos pastel|pastel mis pastelitos|mis pastelitos recetas|recetas mis pastelitos|mis pastelitos gomitas|gomitas mis pastelitos|mis pastelitos gomita|gomita mis pastelitos|comida real vs comida de gomita|comida real vs gomitas|comida de gomita vs real|comida de goma vs real|gomita vs comida real|comida de gomita vs comida real|gomita|gomitas|comida de gomita","769851","47632","1340","2027","https://i.ytimg.com/vi/u42oD3L-UPs/default.jpg","False","False","COMIDA DE GOMITA VS COMIDA REAL | MIS PASTELITOSCOMPARTE EL VIDEO Y DALE ME GUSTA ♥♥♥SUSCRÍBETE: http://bit.ly/1vOBVyo♥♥♥ SÍGUEME AQUÍ ♥♥♥Facebook: http://on.fb.me/1q5ZaM0Twitter: http://bit.ly/1Bay4vWInstagram: http://bit.ly/1LfV6qdSnapchat: mispastelitosVIDEOS ANTERIORES:PASTEL EN LA ESTUFA EN UNA OLLA: https://youtu.be/OZVHNuB9pp4DRAW MY LIFE: https://youtu.be/tlOoWRuO8fMMÁNDAME TU VIDEO DICIENDO ESHPESHIAL AL CORREO:videomispastelitos@hotmail.com#MisPastelitosSi llegas a leer esto comenta aquí a bajito: Mi favs fueron las Donas!"
"QUOGsdDfroU","El espectacular baile de Acábatelo","2019-11-02T02:38:43.000Z","UCo1nfa1JKNqtcUyLjLwTiIw","MULTIMEDIOS","24","19.03.11","multimedios|multimediostv|monterrey|mexico|nuevo|león|leon|show|programa|comedia|youtube|méxico|canal","129085","6757","92","322","https://i.ytimg.com/vi/QUOGsdDfroU/default.jpg","False","False","https://www.instagram.com/multimediostv/https://twitter.com/multimediostvhttps://www.facebook.com/multimediostvPara mas información, videos exclusivos, galerías de fotos y más Visita nuestra página oficial https://www.multimedios.com"
"ECdhYjegdg8","Pijamada con Las Diablas | Broma Extrema","2019-10-31T23:45:12.000Z","UCEG_X195mDPg7KpAKiFg5jQ","Carolina Díaz","24","19.03.11","carolina diaz|broma|pijamada|youtubers|badabun|fantasma|suspenso|luz|ruido|espejo|noche|baño|pizza|instagram|foto","2475834","128803","3149","4662","https://i.ytimg.com/vi/ECdhYjegdg8/default.jpg","False","False","Chicos, no se imaginan lo divertido que fue grabar esta broma. Las Diablas se volvieron locas con el juego de luces y los ruidos extraños. Ademas de la genial actuacion de Anette como la niña fantasma. ¡ No se lo pierdan!#CarolinaDIaz #YouTubersCAROLINA DIAZFacebook: https://www.facebook.com/SoyCarolinaDiazInstagram: https://www.instagram.com/soycarolinadiazYoutube: https://www.youtube.com/c/SoyCarolinaDiazQUEEN BUENROSTROInstagram: https://www.instagram.com/queenbuenrostroYoutube: http://www.youtube.com/c/QueenBuenrostroOficialFacebook: https://www.facebook.com/QueenBuenrostroTwitter: https://twitter.com/QueenBuenrostroKIM SHANTALInstagram: https://www.instagram.com/kimshantalYoutube: https://www.youtube.com/c/KimShantalFacebook: https://www.facebook.com/kimshantalmxTwitter: https://twitter.com/kimShantal_CELLEGRINIYoutube: https://www.youtube.com/c/CellegriniFacebook: https://www.facebook.com/CellegriniInstagram: https://www.instagram.com/celestepellegriniTwitter: https://twitter.com/cellegriniDANIELA ALFAROInstagram: https://www.instagram.com/SoydannyalfaroYoutube: https://www.youtube.com/c/DanielaAlfaroGFacebook: https://www.facebook.com/soydannyalfaroTwitter: https://twitter.com/SoyDannyAlfaroContacto: ventas@badabun.com"
"tzjYQEPETSU","Intenta No Reír: 14 Bromas De Halloween Que Salieron Mal / Ideas De Decoración Para Halloween","2019-11-01T20:00:05.000Z","UCwmVv-CvbNdhlnPQ4SyWzkg","WooHoo ES","22","19.03.11","ideas de decoración de halloween|calabaza dentuda|ideas de tallado de calabaza|cómo tallar calabaza|bromas de miedo|trucos o golosinas|Halloween|bricolaje de Halloween|decoración de halloween de bricolaje|ideas de disfraces de halloween|fiesta de Halloween|WooHoo|bromas de Halloween|bromas de Halloween que salieron mal|prueba No reír|falla|bromea|falla broma","906194","14034","1499","397","https://i.ytimg.com/vi/tzjYQEPETSU/default.jpg","False","False","Subscríbete aquí: https://www.youtube.com/channel/UCwmVv-CvbNdhlnPQ4SyWzkg?sub_confirmation=1¡Rebobina La Vida y Cambia De Opción! / ¿Qué Pasaría Si…?: https://youtu.be/FxJZXTzcFS4?list=PLAU7fQa_vsp-QNFiWqbhInLtZn0K8e2kK¡Halloween se acerca! ¡No te olvides de las bromas de Halloween y de las ideas de decoración! ¡Hoy tenemos las mejores bromas de Halloween que salieron mal! ¡Tus invitados recordarán tu fiesta!Suministros y herramientas:• Fieltro negro• Plantillas de murciélagos• Tijeras• Hilo de pesca• Piernas y brazos de muñeca rota• Diadema• Pistola de silicona• Cuchillo multiuso• Caja de plástico• Pintura en aerosol• Pintura acrílica plateada• Esqueleto de juguete• Base de jabón• Globo ocular gomosoMusic:Act One - Tenebrous Brothers Carnival by  Kevin MacLeod is licensed under a Creative Commons Attribution (https://creativecommons.org/licenses/by/4.0/).Source http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100643.Artist: http://incompetech.com/Act Two - Tenebrous Brothers Carnival by Kevin MacLeod is licensed under a Creative Commons Attribution (https://creativecommons.org/licenses/by/4.0/).Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100641.Artist: http://incompetech.com/Darkest Child by Kevin MacLeod is licensed under a Creative Commons Attribution (https://creativecommons.org/licenses/by/4.0/).Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100783Artist: http://incompetech.com/Classic Horror - Madness Paranoia by Kevin MacLeod is licensed under a Creative Commons (http://creativecommons.org/licenses/by/3.0/)Artist: http://incompetech.com/Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100471WooHoo English: Subscríbete: https://www.youtube.com/channel/UC41GHsi-F40DiDT2DFAWW0w?sub_confirmation=1WooHoo Française:Subscríbete: https://www.youtube.com/channel/UC4EitvksL3NFbAOmra3Uifw?sub_confirmation=1WooHoo Russian: Subscríbete: https://www.youtube.com/channel/UCKQTOGKzcSPuQgflweqce_Q?sub_confirmation=1WooHoo Deutsch:Subscríbete: https://www.youtube.com/channel/UCnb3b-x6to_3eGa3vLdkMTw?sub_confirmation=1WooHoo Arabic:Subscríbete: https://www.youtube.com/channel/UCFIVmDqbK_jnb6kq7I5hluA?sub_confirmation=1WooHoo Português:Subscríbete: https://www.youtube.com/channel/UCDr1rkNvzPCEfh5ZCJeqpdg?sub_confirmation=1¡No olvides activar tus notificaciones, dar like y subscribirte!"
"oIHNYudTuLc","10 PASTELES de CUMPLEAÑOS que hicieron LLORAR al FESTEJADO 🎂 (parte 2)","2019-11-01T19:18:35.000Z","UCUl-2o1dLbH_GCoU_B_1tsg","Luan Palomera","24","19.03.11","pasteles|tortas|luan palomera|comida|cumpleaños|divertido|risa|reir|datos|curiosos|fiesta|entretenimiento|funny|for kids|para niños","707622","53766","1133","5297","https://i.ytimg.com/vi/oIHNYudTuLc/default.jpg","False","False","Descarga Filmora Gratis ► http://bit.ly/2N2QuupInstagram ► https://instagram.com/LuanPalomeraTwitter ► https://twitter.com/LuanPalomera ¡Suscríbete! ► http://goo.gl/lKMLz1Contacto: luanpalomera.contact@gmail.com------------------------------------------------------Facebook ► https://www.facebook.com/LuanPalomeraSnapchat ► luanpalomera------------------------------------------------------¡Los amo chicuelos! 😙🍑"
