video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"a8htNEs1m_c","КТО ХУЖЕ НАРИСУЕТ, ТОТ ЭТО СЪЕСТ ЧЕЛЛЕНДЖ !","2019-11-02T11:00:25.000Z","UC2tsySbe9TNrI-xh2lximHA","A4","24","19.03.11","КТО ХУЖЕ НАРИСУЕТ|КТО ХУЖЕ НАРИСУЕТ ТОТ ЭТО СЪЕСТ ЧЕЛЛЕНДЖ|нарисуй челлендж|кто хуже тот съест|кто лучше нарисует|нарисуй выиграй|рисование|лучший рисунок|challenge|челлендж|а4|влад а4|влад бумага","3550683","316151","13090","82991","https://i.ytimg.com/vi/a8htNEs1m_c/default.jpg","False","False","На Aliexpress нереально сумасшедшие скидки до 70%, успей обновиться: https://aliclick.ru/STaEW/Также не забудь про специальный промокод: ALISALE10, скидка 10$ при покупке от 100$(промокод действует с 11 по 13 ноября)Ссылка на МЕРЧ ВЛАДА А4 http://bit.ly/A4_merchВ этом ролике мы узнаем, кому же не повезет больше всех !!!  Перед нами будет лежать противный продукт, который все мы не хотим съесть и мы будем должны его нарисовать за 30/45/60 СЕКУНД!!! Кто хуже нарисует этот продукт - должен будет съесть это !!! Следователь Берикович будет определять своим намётанным взглядом какой из рисунков ПОДДЕЛКА !!!Это будет жестко и весело! Смотри и поддержи нас лайком !!!● Instagram - https://www.instagram.com/a4omgПОДПИСЫВАЙСЯ ЧТОБЫ УВЕЛИЧИТЬ МОЮ САМООЦЕНКУ !) ▶ РЕКЛАМА, СОТРУДНИЧЕСТВО: a4a4a4a4pr@gmail.com▶ПРОШЛОЕ ВИДЕО - https://youtu.be/ikxx9AmXL7A● Моя партнерская сеть MediaCube :  http://bit.ly/A4_mcn● Instagram - https://www.instagram.com/a4omg● VKontakte: https://vk.com/id240651878● Паблик VK : https://vk.com/a4_tv"
"n1JqhzWoY-I","ТРЕК РЕАЛЬНО ЗА 5 МИНУТ (Feat. Моргенштерн)","2019-11-02T11:00:15.000Z","UCwAlUoQBC1Tqn0PlrNDDz_A","SLAVA MARLOW","23","19.03.11","slava marlow|Слава Мэрлоу|Слава Марлов|Моргенштерн|Morgenshtern|ИЗИРЭП|Грустная песня","466516","64703","1170","2445","https://i.ytimg.com/vi/n1JqhzWoY-I/default.jpg","False","False","МОЙ ИНСТАГРАМ - https://www.instagram.com/slavamarlow/БИТЫ ДЛЯ КРУТЫХ РЭПЕРОВ - https://vk.com/marlowbeats Долгожданное видео с Алишером! В этом видео мы сделаем трек за 5 минут по-настоящему! (А не так, как в # ИЗИРЭП)Моргенштерн приехал ко мне в гости и мы действительно записали хит за 5 минут. Вот Так (-то) !Очень жду ваших комментариев!ОПЕРАТОР - https://vk.cc/9QQKeRhttps://www.instagram.com/slavamarlow/ - ИНСТАГРАМhttp://t-do.ru/marlowism - ТЕЛЕГРАМ КАНАЛhttps://www.vk.com/marlowism - ВТЕНТАКЛЕhttps://www.twitter.com/slavamarlow - ПТИЧКАПривет! Я Слава Мэрлоу. Я снимаю видеоролики про написание битов, сведение, создание музыки в домашних условиях . Я использую ableton, не люблю fl studio. Почта для сотрудничества MARLOWSOLD@GMAIL.COM"
"EVs72oE76fc","AKSHOW2 / Мы РАССТАЁМСЯ? / Почему у меня ИСТЕРИКА? / КАК мы пишем песни? 3 серия","2019-11-02T09:00:12.000Z","UCA0Xum6Bxx-rhmrog1A1ISQ","Katya Adushkina","24","19.03.11","Катя Адушкина|Katya Adushkina|Адушкина|Adushkina|АДУШКИНЫ|адуванчики|AKSHOW2|КАК мы пишем песни?","862874","69954","2092","3749","https://i.ytimg.com/vi/EVs72oE76fc/default.jpg","False","False","Мы РАССТАЁМСЯ? Почему у меня ИСТЕРИКА? Всё это и много другое в третьей серии! Предыдущая серия https://youtu.be/u2I4Vgsy1O0МЕНЕДЖМЕНТ https://didenok.comМОЙ МЕРЧ https://akwear.ru МОЙ VLOGОВЫЙ КАНАЛ : https://www.youtube.com/c/AdushkinaVlogsСлушайте мой альбом .АНДО : https://band.link/ando_ep 💕💕💕💕💕💕💕💕Instagram : https://www.instagram.com/katusha_adu...Второй Instagram : https://www.instagram.com/adushkinalife/Twitter : https://twitter.com/AdushkinaKatya Telegram : https://t.me/Katya_adushkinaVk : https://vk.com/id222267609Официальная группа ВК :  https://fb.me/KatyaAdushkinaa♥Для коммерческих запросов :AdushkinaPR@gmail.com♥Обложки : https://vk.com/katyadsgn♥Футажи : http://bit.ly/editingbymatthieuЕСЛИ ТЫ ЭТО ЧИТАЕШЬ, с тебя подписка и комментарий"
"hTaXp1Bq6fE","АНДРЕЙ ПЕТРОВ О КОНФЛИКТЕ С ГЕВОРГОМ, ИНСТАСАМКОЙ И СИНЯКОМ","2019-11-02T08:47:42.000Z","UCD3cxCSDwsNVrOfHHpcqwQA","ПУШКА","24","19.03.11","андрей петров|андрей петров интервью|петров|andrey petrov|андрей петров пушка|пушка новости|интервью|пушка ньюс|пушка|пушка news","366343","22104","1831","2033","https://i.ytimg.com/vi/hTaXp1Bq6fE/default.jpg","False","False","Привет! Сегодня просто супер-горячий выпуск, который вы очень долго ждали, в студии визажист и блогер Андрей Петров!Скандалы с Петровым, которые вошли в выпуск, придется перечислять целым списком: конфликты с Геворгом и Игорем Синяком, ссора с Инстасамкой и блокировка канала Вилкой в глаз, личная жизнь и неуравновешенная психика Леры Любарской.Соцсеточки Ксюши Хоффман:YouTube: https://www.youtube.com/channel/UCZ7p...VK: https://vk.com/kseniahoffmanInst: https://www.instagram.com/kseniahoffman/Соцсеточки Andrey Petrov:https://www.youtube.com/channel/UC0UK9eo_m6v4DDGXQKQf5Wwhttps://www.instagram.com/andrewpetrov1/https://vk.com/id277822552Проект «Пушка» хэдшотит по YouTube и задает острые вопросы главным героям русского видеоблогинга! Раз в неделю ведущая Ксюша Хоффман узнает то, о чем они предпочитают молчать. Эксклюзивные интервью, новости и ранее неизвестные факты лично от блогеров.ПОДПИСЫВАЙСЯ, КАНАЛ ПРОСТО ПУШКАhttps://www.youtube.com/пушка"
"BHPPLdWeGiw","Ролик World of Warcraft: Shadowlands","2019-11-01T18:46:14.000Z","UC7Oo1q9m4vf7XrlZgOR95WA","World of Warcraft RU","20","19.03.11","World of Warcraft русский|World of Warcraft russian|World of Warcraft RU|World of Warcraft|Blizzard World of Warcraft|WoW|Warcraft|Blizzard Entertainment|Blizzard|дополнение World of Warcraft|игры близзард|альянс|орда|ММОРПГ|Легион|Азерот|битва за Азерот|World of Warcraft Battle for Azeroth|Battle for Azeroth|официальный WoW|близзард|ворлд оф варкрафт|варкрафт|вов","892027","50284","5818","8033","https://i.ytimg.com/vi/BHPPLdWeGiw/default.jpg","False","False","Граница между жизнью и смертью стерлась. Узнайте, что кроется по ту сторону привычного мира, в новой главе саги World of Warcraft — Shadowlands, выход которой состоится в 2020 году. Подробности — на сайте http://worldofwarcraft.com."
"EYvIZDm4AII","ПОЛ ЭТО ЛАВА НА 24 ЧАСА ЧЕЛЛЕНДЖ","2019-11-02T14:11:40.000Z","UCJ3EdI60BKY-EbGU3hFH4rg","PeReC Fly","22","19.03.11","ПОЛ ЭТО ЛАВА|24 ЧАСА|floor is lava|че|24 ЧАСА ЧЕЛЛЕНДЖ|весело|смешно|ПОЛ|ЭТО|поверхность|Челлендж|Chellenge|Лава челлендж|Пол это Лава|веселое видео|смешное видео|Floor is lava|fun|funny|развлечения|Floor is lava Chellenge","145085","20747","356","1662","https://i.ytimg.com/vi/EYvIZDm4AII/default.jpg","False","False","Регистрируйся и получай до 50 000 рублей к первому депозиту по промокоду PEREC - https://1wgqt.xyz/landing-pageУстроил для друзей игру!Пол это лава на 24 часа!Кто же победит в этом челлендже ?Наши InstagramsPeReC -  http://instagram.com/perec_fly/KLygeR - https://instagram.com/alexkudrov/Chio yam - https://www.instagram.com/pixel_chio7/Егор - https://www.instagram.com/egoriiiyНАШИ ВК (Лайк на аву за репосты)Перец  - https://vk.com/perec_flyKLygeR  - https://vk.com/alexanderkudrovЧио Ям - https://vk.com/pixel_chio7Егор - https://vk.com/yegorykozinКЛЮГЕР https://www.youtube.com/user/AlexanderKudrovЕГОРИЙ https://www.youtube.com/channel/UCgnPjG24x7erwwS0IM2vxqgЧИО ЯМhttps://www.youtube.com/channel/UC6i0vBoW9jwCjeHgxFD9H8Q#пол #лава #Chellenge"
"4XY3VVbLIjk","Ролик-анонс Overwatch 2 | «Точка отсчета»","2019-11-01T19:48:26.000Z","UCpW84gDcZu8wNQ-tUO5qE6A","Overwatch RU","20","19.03.11","Overwatch 2|Точка отсчета|Уинстон|Трейсер|Мэй|Гэндзи|Нуль-сектор|Blizzard Entertainment|Blizzard|FPS|шутер с видом от первого лица|командный шутер|шутер с выполнением заданий|шутер|экшн|командная игра|игра с выполнением заданий|многопользовательская игра|шутер с выбором героя|герой|герои|способности героев|будущее|ближайшее будущее|научная фантастика","450680","35010","1303","3640","https://i.ytimg.com/vi/4XY3VVbLIjk/default.jpg","False","False","Держитесь вместе!Уинстон собирает небольшой ударный отряд, чтобы отбить внезапное нападение «Нуль-сектора» на одну из столиц. И когда надежда начинает таять, команде героев приходится собрать все силы, чтобы сделать невозможное.Подробности: http://www.playoverwatch.comVK: http://vk.com/overwatchTwitter: https://twitter.com/overwatchruInstagram: https://www.instagram.com/playoverwatch"
"moRLnoFK9JM","✅Переезжаем жить в Припять Чернобыльской Зоны Отчуждения ☢ С чего всё началось","2019-11-02T06:45:14.000Z","UCUllb83Lugbka-rvF6Nutxg","KREOSAN","28","19.03.11","Чернобыль|канал Креосан|путешествия|опыты|экперименты|Припять|атомная энергетика|научные видео|мотор колесо|ЧЗО|сталкер|бесплатная энергия|кэшбэк","596092","46774","3090","4914","https://i.ytimg.com/vi/moRLnoFK9JM/default.jpg","False","False","Выгодный кэшбэк сервис Backit: http://got.by/3wtl95Промокод на повышенный кэшбэк: KREOSANПравила участия в конкурсе на 100% возврат средств от Backit: https://vk.com/topic-97111400_40663039Я решил переехать с друзьями жить в покинутый город Припять. Мы хотим отремонтировать одну заброшенную квартиру. Провести свет, отопление, воду. Да, это не легко, но мы твердо решили сделать это.Дозиметр покупал тут: https://mydozimetr.ru/catalog/dozimetry/indikator-radioaktivnosti-radiaskan-701-a/═════════════════════════════════════════════На нашем канале ты найдёшь необычные #эксперименты с электричеством, #опыты и #изобретения. Здесь мы делимся нестандартными идеями и претворяем в жизнь самые смелые задумки.Следи за нашим каналом! Задавай вопросы в комментариях.► Группа ВКОНТАКТЕ - http://vk.com/kreosann► Наш ИНСТАГРАМ - https://www.instagram.com/kreosan► Макс Рудада - https://www.youtube.com/channel/UCZkl4La84NS5IdPLeLltRmw► Антон Чуваков - https://www.youtube.com/channel/UCd24S2yzQldUdgRHLC5c6NQ► Александр Крюков - http://vk.com/kreosan► Заказ рекламы - https://vk.com/id63520946"
"ClzoU5FB-SE","Закружит - Саша Айс & Софа Купер (ПРЕМЬЕРА КЛИПА)","2019-11-02T11:00:11.000Z","UCIaGsqHfeEAoV69Y0zc0XHg","Sasha Ice","10","19.03.11","закружит|саша айс и софа купер|закружит клип|саша айс софа купер закружит|закружит саша айс|закружит софа купер|премьера клипа|саша айс|софа купер|куперайс|кто из нас двоих тебя закружит|закружит песня|саша айс песня|саша айс клип|софа купер песня|софа купер клип","273403","42035","3851","3846","https://i.ytimg.com/vi/ClzoU5FB-SE/default.jpg","False","False","Премьера клипа на нашу  первую песню #ЗАКРУЖИТ!Поделись этим видео с друзьями и в других соц сетях, если тебе понравился клип!Скачивай и слушай трек Закружит - https://band.link/zakrugitПродакшн и реализация проекта - медиа-агентство Krasavin Management - http://www.krsvn.comРежиссёр - Даниил ДемичевАвторы слов и музыки - Анастасия Белявская, Олег Сидоров, Саша Айс, Софа КуперОператор - Глеб НадегдинПродюсер - Влад КрасавинИнстаграм Саши - https://instagram.com/isashaiceИнстаграм Софы - https://instagram.com/sophakuper1ПОКУПАЙ НАШ МЕРЧ ТУТ 👉🏻  https://www.instagram.com/kuperice.merch/?igshid=l539upnichaqПривет! Рада видеть тебя здесь ❤Подпишись на мой канал: https://youtube.com/SashaIceОбщайся со мной и следи за моей жизнью там 👇🏻мой INSTAGRAM: https://www.instagram.com/isashaice/общий INSTAGRAM: https://www.instagram.com/kuper.ice/ВК: https://vk.com/alexandra_1212_sashaМОЯ ГРУППА В ВК: https://vk.com/sashaice1Сотрудничество: sashaice@krsvn.com#Закружит"
"PYSHklVHS5Y","Последние Слова Людей, в Которые Сложно Поверить","2019-11-02T07:03:24.000Z","UCRW3VLiVep5Ud4Ovhj2eUyA","Мастерская Настроения","24","19.03.11","топ|топ 5|топ10|топ5|top 10|мастерская|мастерская настроения|мастерскаянастроения|10 самых|топ 10|вы не знали|top 5|в мире|интересные факты|топ самых|самые самые|интересные|самые|лучшее|невероятные|подборка|факты|необычные|самое|самый|познавательное|самых|как|top5|люди|лучшие|интересно|которые|Последние Слова|Последние Слова Людей|Слова Людей|в которых|сложно поверить|сложно|о смерти|фразы людей|на пороге смерти|фразы перед смертью|последние слова","1046599","39022","1216","2425","https://i.ytimg.com/vi/PYSHklVHS5Y/default.jpg","False","False","По вопросам авторского права, пожалуйста, свяжитесь с нами по адресу: copymanager.mn@gmail.comРеклама и сотрудничество: https://vk.com/club60235938?w=page-60235938_49750911TechZone ► https://goo.gl/ULy98RСегодня поговорим о… смерти. Смерть пугает и одновременно притягивает многих людей. Все потому, что никто не знает наверняка, что случится после нее. Это конец? Или всего лишь этап, переход к чему-то новому? Именно поэтому вокруг последних слов человека всегда есть ореол загадочности. Особенно если это известный человек – вдруг знаменитости удалось заглянуть за завесу и выяснить, что ждет нас там? К сожалению, последние слова не так уж часто удается зафиксировать, а иногда они и вовсе превращаются в миф. Итак, в этом видео мы собрали фразы известных людей, сказанные на пороге смерти. Не боитесь услышать их? ◓МН в ВК►https://vk.com/club60235938◓РЕКЛАМА►https://vk.com/club60235938?w=page-60235938_49750911◓Поддержать канал можно задонатив на эти кошельки:ЯД►41001762198241ВМ►R114977267226"
"fEYWVVkrTsk","РАЗБОРКИ С ГЛАВНЫМ ГОПНИКОВ. БАНДИТЫ ЗАБРАЛИ ДРУГА И ТРЕБУЮТ ДЕНЬГИ ЗА ЯЩИК","2019-11-02T12:00:10.000Z","UCqtzZMiZ5Bng7HCxI6154gg","Макс Ващенко","22","19.03.11","деньги|забрали деньги|требуют деньги|гопники|гопота|разборки|разборка|разборки с гопниками|с гопниками|с главным|бандиты|бандиты забрали|забрали друга|друг|бандиты требуют деньги|пэл|за ящик|ящик|ващенко|макс ващенко|сериал|фильм|нашли|нашли гопников","407027","52812","1464","1874","https://i.ytimg.com/vi/fEYWVVkrTsk/default.jpg","False","False","НАШЛИ ГЛАВНОГО ГОПНИКОВ. БАНДИТЫ ЗАБРАЛИ ДРУГА И ТРЕБУЮТ ДЕНЬГИ ЗА ЯЩИКМОЙ ТЕЛЕГРАМ, В КОТОРОМ ВЫ МОЖЕТЕ ХОРОШО ЗАРАБОТАТЬ: https://tgdo.me/joinchat/AAAAAEoSCvPH5Z8lzHI3QwОТРЫВОК ВИДЕО В ИНСТЕ! (видят только подписчики инстаграма) https://instagram.com/max_vashchenko/ВКОНТАКТЕ : https://vk.com/max.vashchenkoИНСТАГРАМ КИРИЛЛА: https://www.instagram.com/kerilo58ОФИЦИАЛЬНАЯ ГРУППА ВК: https://vk.com/vashchenkopubМОЙ ВТОРОЙ КАНАЛ: https://www.youtube.com/channel/UC5Ob2zi4pkJfra-kdcmG99w Я В ТИК-ТОКЕ: http://vm.tiktok.com/8NQdKh/Видео не является реальным. Вся ситуация постановочная и носит исключительно художественный характер. В видео присутствуют актеры.:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::Реклама/Сотрудничество: k1noman@mail.ru::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::МОИ ВИДЕО - https://www.youtube.com/channel/UCqtzZMiZ5Bng7HCxI6154gg?sub_confirmation=1"
"cUVy1LBlGBw","ЗАШКВАРНЫЕ ИСТОРИИ 3 Сезон: Шац, Ильич, Поперечный, Музыченко, Старый","2019-11-01T16:40:15.000Z","UC5sSL56GJWCi4wsMpobTrAw","КЛИККЛАК","23","19.03.11","кликклак|клик клак|клик|клак|кликклак шоу|клик клак шоу|шоу|данила поперечный|поперечный|юрий музыченко|музыченко|андрей старый|старый|старый в огне|илья прусикин|прусикин|ильич|михаил шац|шац|зашкварные истории|зашкварные истории из жизни|зашквар|истории|истории из жизни|кликклак зашкварные истории|треш|трэш|трэш шоу|треш шоу|угар|история из жизни|история|смешно|3 сезон|премьера|little big|стендап|школьные истории|the hatters|шляпники|квн|стендап тур","1664837","136218","2081","3991","https://i.ytimg.com/vi/cUVy1LBlGBw/default.jpg","False","False","Хватит кричать, беги по ссылке в объятия Яндекс.Станции Мини: https://ya.cc/7ByTUГолосуй за самого зашкварца тут:https://vk.com/klikklakpageКликКлак Шоп: http://klikklak.shopМихаил Шац: https://www.instagram.com/mikhailshats/ВЕЧЕРНИЙ КТО-ТО: https://www.youtube.com/channel/UCLZljrAv7wWrN__LB-5QS7gСегодня на канале КЛИККЛАК новый выпуск третьего сезона шоу «Зашкварные Истории», в котором Илья Прусикин, Данила Поперечный, Андрей Старый, Юрий Музыченко и гость выпуска – Михаил Шац расскажут свои самые зашкварные истории из жизни. Вас ждет пройденный треш и угар от наших участников. В уютном кругу друзей вы услышите уморительные истории из студенческой жизни Михаила Шаца, забавные школьные истории Старого, неловкие моменты Ильича во время концерта Little Big и стендап-тура Поперечного, а также не менее смешные истории из молодости, рассказанные специально для вас. Чья история из жизни была интереснее и смешнее всего? Пишите в комментариях.Приятного просмотра!Илья Прусикин: https://www.youtube.com/user/iLichShowhttps://www.instagram.com/iliyaprusikinДаня Поперечный: https://www.youtube.com/spoontamerhttps://www.instagram.com/spoontamerАндрей Старый: https://www.youtube.com/c/StariyXhttps://www.instagram.com/stariypovarЮра Музыченко: https://www.youtube.com/channel/UCIx1MJ-J6hIEi9Rx34UUeAwhttps://www.instagram.com/yra_muzichenko"
